id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401309618,Louisiana Monroe,21,Georgia State,55,Bovada,49.5,16.0,Georgia State -16.0,14.5,53.0,500,-750
401309618,Louisiana Monroe,21,Georgia State,55,William Hill (New Jersey),49.5,16,Georgia State -16,,,,
401309618,Louisiana Monroe,21,Georgia State,55,consensus,49.5,16,Georgia State -16,,,,
401309618,Louisiana Monroe,21,Georgia State,55,teamrankings,49.5,16,Georgia State -16,,,,
401309570,Northern Illinois,34,Bowling Green,26,William Hill (New Jersey),44.5,-9,Northern Illinois -9,,,,
401309570,Northern Illinois,34,Bowling Green,26,Bovada,45.0,-9.0,Northern Illinois -9.0,-9.5,49.0,-350,275
401309570,Northern Illinois,34,Bowling Green,26,consensus,45,-9,Northern Illinois -9,,,,
401309570,Northern Illinois,34,Bowling Green,26,teamrankings,44.5,-9,Northern Illinois -9,,,,
401287927,TCU,17,West Virginia,29,Bovada,57.0,-4.5,TCU -4.5,-4.5,58.0,-200,170
401287927,TCU,17,West Virginia,29,William Hill (New Jersey),58,-4.5,TCU -4.5,,,,
401287927,TCU,17,West Virginia,29,consensus,58,-4.5,TCU -4.5,,,,
401287927,TCU,17,West Virginia,29,teamrankings,58,-5,TCU -5,,,,
401301025,SMU,55,Tulane,26,Bovada,70.0,-14.0,SMU -14.0,-14.0,70.0,-605,420
401301025,SMU,55,Tulane,26,William Hill (New Jersey),70.5,-14,SMU -14,,,,
401301025,SMU,55,Tulane,26,consensus,70.5,-14,SMU -14,,,,
401301025,SMU,55,Tulane,26,teamrankings,70.5,-14,SMU -14,,,,
401309617,Troy,27,Georgia Southern,24,Bovada,51.0,-5.5,Troy -5.5,-4.0,51.0,-220,180
401309617,Troy,27,Georgia Southern,24,William Hill (New Jersey),50.5,-5.5,Troy -5.5,,,,
401309617,Troy,27,Georgia Southern,24,consensus,50.5,-5.5,Troy -5.5,,,,
401309617,Troy,27,Georgia Southern,24,teamrankings,51,-5.5,Troy -5.5,,,,
401309564,Toledo,20,Northern Illinois,22,Bovada,51.0,-13.0,Toledo -13.0,-12.5,54.5,-520,375
401309564,Toledo,20,Northern Illinois,22,William Hill (New Jersey),51,-13,Toledo -13,,,,
401309564,Toledo,20,Northern Illinois,22,consensus,51,-13,Toledo -13,,,,
401309564,Toledo,20,Northern Illinois,22,teamrankings,51.5,-13,Toledo -13,,,,
401301032,Tulane,12,Cincinnati,31,Bovada,61.5,28.5,Cincinnati -28.5,25.0,63.0,1200,-3800
401301032,Tulane,12,Cincinnati,31,William Hill (New Jersey),61.5,28,Cincinnati -28,,,,
401301032,Tulane,12,Cincinnati,31,consensus,61.5,28,Cincinnati -28,,,,
401301032,Tulane,12,Cincinnati,31,teamrankings,61.5,27.5,Cincinnati -27.5,,,,
401309614,Coastal Carolina,59,Louisiana Monroe,6,Bovada,57.5,-34.0,Coastal Carolina -34.0,-33.5,58.5,,
401309614,Coastal Carolina,59,Louisiana Monroe,6,William Hill (New Jersey),57.5,-33.5,Coastal Carolina -33.5,,,,
401309614,Coastal Carolina,59,Louisiana Monroe,6,consensus,57.5,-33.5,Coastal Carolina -33.5,,,,
401309614,Coastal Carolina,59,Louisiana Monroe,6,teamrankings,57.5,-33.5,Coastal Carolina -33.5,,,,
401309613,Georgia Southern,59,Arkansas State,33,Bovada,66.0,-2.0,Georgia Southern -2.0,-3.0,45.5,-125,105
401309613,Georgia Southern,59,Arkansas State,33,William Hill (New Jersey),66.5,-2,Georgia Southern -2,,,,
401309613,Georgia Southern,59,Arkansas State,33,consensus,66,-2,Georgia Southern -2,,,,
401309613,Georgia Southern,59,Arkansas State,33,teamrankings,66.5,-1.5,Georgia Southern -1.5,,,,
401282144,Texas A&M,52,Prairie View,3,Bovada,50.5,-41.5,Texas A&M -41.5,-41.5,50.5,,
401282144,Texas A&M,52,Prairie View,3,William Hill (New Jersey),50,-41.5,Texas A&M -41.5,,,,
401282144,Texas A&M,52,Prairie View,3,consensus,50,-41.5,Texas A&M -41.5,,,,
